id,date,author,text,type,author_channel_url,author_channel_id,edited_date,parent_post_id,parent_username,direct_reply_to,likes
UgyUgWJzIVY0orNJ4oR4AaABAg,2024-05-01T08:26:50Z,@melaniamonicacraciun9900,😢😢😢,Thread,http://www.youtube.com/@melaniamonicacraciun9900,UCuMy6b29n8MgmUT0bc0Il0g,2024-05-01T08:26:50Z,,,,0
UgzAK3c9eEYORFM8UQB4AaABAg,2024-05-01T08:13:00Z,@sdrawkcabshitdaer5031,"I think the >100k€ something per capita of these financial hubs distorts the reality. I don’t think these countries are as rich as their gdps show. Same in Ireland. That money that goes through large financial companies books aren’t all distributed to the people of that country. On the contrary these countries attract high paid expats which increases the rents and cost of living for locals. A country needs real manufacturing of goods and services, and agriculture to be rich. Being a head quarter of big companies isn’t enough.",Thread,http://www.youtube.com/@sdrawkcabshitdaer5031,UCOkse4ReHh2P4QJ8zbw1fWA,2024-05-01T08:13:00Z,,,,7
A2tIxXOalMUA2troeXvgez,2024-05-01T13:26:21Z,@Evandrosab,You are 100% right!!,Reply,http://www.youtube.com/@Evandrosab,UCOkse4ReHh2P4QJ8zbw1fWA,2024-05-01T13:26:21Z,UgzAK3c9eEYORFM8UQB4AaABAg,@sdrawkcabshitdaer5031,,0
A2tIxXOalMUA3kVEwcnlCn,2024-05-22T18:38:36Z,@mirianakovachevic748,"Yeah, I thought something is wrong about numbers when I saw Ireland's GDP is equal to Switzerland's.",Reply,http://www.youtube.com/@mirianakovachevic748,UCOkse4ReHh2P4QJ8zbw1fWA,2024-05-22T18:38:36Z,UgzAK3c9eEYORFM8UQB4AaABAg,@sdrawkcabshitdaer5031,,0
UgznFWXlWOFpeKBRT5R4AaABAg,2024-05-01T07:18:21Z,@jeonlyxoxo,"I always admire people like Alexandra who in the middle of the chaos of the world we are now living in have the time and energy to help, Great job Alexandra. 👏🏼👏🏼👏🏼",Thread,http://www.youtube.com/@jeonlyxoxo,UCI9GjMCuXAvAbwX_B7UMXOg,2024-05-01T07:18:21Z,,,,142
UgzCsUZEiQh0bWnrrKJ4AaABAg,2024-05-01T07:01:35Z,@NAPSTERAZ,The social worker should invite everyone over her home and have them live there honeslty. If she feels so bad. See how quick she change 😂,Thread,http://www.youtube.com/@NAPSTERAZ,UCYrkeeh57W6KDhaPX2gFRjA,2024-05-01T07:01:35Z,,,,2
UgwDiiE2OWV6SsQr8Rl4AaABAg,2024-05-01T06:57:15Z,@mrkhan6565,God bless her for helping poor,Thread,http://www.youtube.com/@mrkhan6565,UChvpkqZ3x2yXfZO7TxZ1Hyg,2024-05-01T06:57:15Z,,,,2
A2tAHkHqn5-A3dgeQQgrm9,2024-05-20T03:12:23Z,@andrewmclaughlin2701,poverty prevention is more helpful than feeding the poor,Reply,http://www.youtube.com/@andrewmclaughlin2701,UChvpkqZ3x2yXfZO7TxZ1Hyg,2024-05-20T03:12:23Z,UgwDiiE2OWV6SsQr8Rl4AaABAg,@mrkhan6565,,0
UgyPQihGIVsyZR4rPTp4AaABAg,2024-05-01T06:51:31Z,@sendbnes,"Instead of giving money to refugees, religious refugees & illegal immigrants, give the money instead to the real germans.",Thread,http://www.youtube.com/@sendbnes,UCVQvoj5WfxcxvzQQFAqRvrw,2024-05-01T06:51:31Z,,,,0
Ugwj9b3-18gas5TzI5Z4AaABAg,2024-05-01T06:39:15Z,@macosbyanthony896,"Wait, I have 2 houses here in Accra Ghana, a business, and I tend to wonder why many Ghanaians have lost faith in themselves to travel abroad to look for work. I rent one of my houses to tenants and so not even worry them with rent. If we all decide to be kind to each other, we can have a thriving world. Billions of dollars are being spent on wars, but not to help people?",Thread,http://www.youtube.com/@macosbyanthony896,UCjDkDwu8g6rM0Y7DekQXJ9w,2024-05-01T06:39:15Z,,,,246
UgyWBHA4EizRGO0Dusd4AaABAg,2024-05-01T06:35:36Z,@shazanakhan9807,"Did she say 1 in 15 residents are millionaires. UK the homes are sky high. I live in a 2bedroom flat and it cost £1350pm, im a single parent and disabled after having my son. I use to work 6 night shifts in a nursing home, i have some savings, done my bsc and masters degree. But God had other plans for me. Money isnt everything but little helps. It is a struggle living off little benefit which doesnt cover full rent cost as council property are taken by foreigners, being British born i feel let down, i did pay into the system since 2013 when i had good health. For me rent, bills and food comes first, clothes and outing are luxury.",Thread,http://www.youtube.com/@shazanakhan9807,UCIoQbCn7By4K9YWrFP271MQ,2024-05-01T06:43:38Z,,,,4
A2t7o8JEr1gA2tLbDXBTDZ,2024-05-01T08:36:10Z,@allesklar221,"Yeah, statistically 1 in 15 residents are millionaires. Lux is a small country, and there are a few factors which falsify thar statistic :
- Lux is a ""tax haven"" for wealthy people from all over the world. Many rich have their residence in Lux, but they actually do not live there. A friend of mine is self employed, his job is to look after empty houses for super rich who are registered in Lux but are actually never physically there. They just moved their assets there, and own a house there. You will be surprised how many houses are empty all the time. 

- Lux, being a tiny country, is a banking center. These upper 1% of the people earn a lot of money - but if you take these people out of the statistics, the average income before taxes in Lux is approx 65K euro/ year, and if you see the cost of living, it is hard to come by as a single unmarried with that amount of money.",Reply,http://www.youtube.com/@allesklar221,UCIoQbCn7By4K9YWrFP271MQ,2024-05-01T08:36:10Z,UgyWBHA4EizRGO0Dusd4AaABAg,@shazanakhan9807,,2
UgxDPyHmlsc3gmOOpD14AaABAg,2024-05-01T06:27:01Z,@BMboss108,So sad..i live in Africa and live a better life..welcome here❤,Thread,http://www.youtube.com/@BMboss108,UCpHPHRbPiv2F1m5pwjZ8lpQ,2024-05-01T06:27:01Z,,,,6
